Exp_name,Window_size,Detection_end,Det_acc,Drift_signaled,Real_drift,Total_Training_time
1_Baseline,500,1173,0.82,False,False,0.019945859909057617
1_Baseline,500,1174,0.82,False,False,0.019945859909057617
1_Baseline,500,1175,0.82,False,False,0.019945859909057617
1_Baseline,500,1176,0.82,False,False,0.019945859909057617
1_Baseline,500,1177,0.822,False,False,0.019945859909057617
1_Baseline,500,1178,0.822,False,False,0.019945859909057617
1_Baseline,500,1179,0.822,False,False,0.019945859909057617
1_Baseline,500,1180,0.822,False,False,0.019945859909057617
1_Baseline,500,1181,0.822,False,False,0.019945859909057617
1_Baseline,500,1182,0.822,False,False,0.019945859909057617
1_Baseline,500,1183,0.822,False,False,0.019945859909057617
1_Baseline,500,1184,0.82,False,False,0.019945859909057617
1_Baseline,500,1185,0.822,False,False,0.019945859909057617
1_Baseline,500,1186,0.824,False,False,0.019945859909057617
1_Baseline,500,1187,0.824,False,False,0.019945859909057617
1_Baseline,500,1188,0.826,False,False,0.019945859909057617
1_Baseline,500,1189,0.826,False,False,0.019945859909057617
1_Baseline,500,1190,0.826,False,False,0.019945859909057617
1_Baseline,500,1191,0.828,False,False,0.019945859909057617
1_Baseline,500,1192,0.828,False,False,0.019945859909057617
1_Baseline,500,1193,0.83,False,False,0.019945859909057617
1_Baseline,500,1194,0.83,False,False,0.019945859909057617
1_Baseline,500,1195,0.83,False,False,0.019945859909057617
1_Baseline,500,1196,0.83,False,False,0.019945859909057617
1_Baseline,500,1197,0.828,False,False,0.019945859909057617
1_Baseline,500,1198,0.828,False,False,0.019945859909057617
1_Baseline,500,1199,0.83,False,False,0.019945859909057617
1_Baseline,500,1200,0.83,False,False,0.019945859909057617
1_Baseline,500,1201,0.83,False,False,0.019945859909057617
1_Baseline,500,1202,0.828,False,False,0.019945859909057617
1_Baseline,500,1203,0.828,False,False,0.019945859909057617
1_Baseline,500,1204,0.828,False,False,0.019945859909057617
1_Baseline,500,1205,0.828,False,False,0.019945859909057617
1_Baseline,500,1206,0.828,False,False,0.019945859909057617
1_Baseline,500,1207,0.828,False,False,0.019945859909057617
1_Baseline,500,1208,0.828,False,False,0.019945859909057617
1_Baseline,500,1209,0.828,False,False,0.019945859909057617
1_Baseline,500,1210,0.828,False,False,0.019945859909057617
1_Baseline,500,1211,0.828,False,False,0.019945859909057617
1_Baseline,500,1212,0.828,False,False,0.019945859909057617
1_Baseline,500,1213,0.826,False,False,0.019945859909057617
1_Baseline,500,1214,0.824,False,False,0.019945859909057617
1_Baseline,500,1215,0.824,False,False,0.019945859909057617
1_Baseline,500,1216,0.826,False,False,0.019945859909057617
1_Baseline,500,1217,0.826,False,False,0.019945859909057617
1_Baseline,500,1218,0.826,False,False,0.019945859909057617
1_Baseline,500,1219,0.826,False,False,0.019945859909057617
1_Baseline,500,1220,0.826,False,False,0.019945859909057617
1_Baseline,500,1221,0.826,False,False,0.019945859909057617
1_Baseline,500,1222,0.826,False,False,0.019945859909057617
1_Baseline,500,1223,0.826,False,False,0.019945859909057617
1_Baseline,500,1224,0.824,False,False,0.019945859909057617
1_Baseline,500,1225,0.824,False,False,0.019945859909057617
1_Baseline,500,1226,0.824,False,False,0.019945859909057617
1_Baseline,500,1227,0.826,False,False,0.019945859909057617
1_Baseline,500,1228,0.826,False,False,0.019945859909057617
1_Baseline,500,1229,0.828,False,False,0.019945859909057617
1_Baseline,500,1230,0.828,False,False,0.019945859909057617
1_Baseline,500,1231,0.83,False,False,0.019945859909057617
1_Baseline,500,1232,0.83,False,False,0.019945859909057617
1_Baseline,500,1233,0.83,False,False,0.019945859909057617
1_Baseline,500,1234,0.832,False,False,0.019945859909057617
1_Baseline,500,1235,0.834,False,False,0.019945859909057617
1_Baseline,500,1236,0.834,False,False,0.019945859909057617
1_Baseline,500,1237,0.834,False,False,0.019945859909057617
1_Baseline,500,1238,0.836,False,False,0.019945859909057617
1_Baseline,500,1239,0.836,False,False,0.019945859909057617
1_Baseline,500,1240,0.834,False,False,0.019945859909057617
1_Baseline,500,1241,0.834,False,False,0.019945859909057617
1_Baseline,500,1242,0.834,False,False,0.019945859909057617
1_Baseline,500,1243,0.834,False,False,0.019945859909057617
1_Baseline,500,1244,0.834,False,False,0.019945859909057617
1_Baseline,500,1245,0.832,False,False,0.019945859909057617
1_Baseline,500,1246,0.832,False,False,0.019945859909057617
1_Baseline,500,1247,0.832,False,False,0.019945859909057617
1_Baseline,500,1248,0.832,False,False,0.019945859909057617
1_Baseline,500,1249,0.832,False,False,0.019945859909057617
1_Baseline,500,1250,0.832,False,False,0.019945859909057617
1_Baseline,500,1251,0.832,False,False,0.019945859909057617
1_Baseline,500,1252,0.832,False,False,0.019945859909057617
1_Baseline,500,1253,0.834,False,False,0.019945859909057617
1_Baseline,500,1254,0.834,False,False,0.019945859909057617
1_Baseline,500,1255,0.832,False,False,0.019945859909057617
1_Baseline,500,1256,0.832,False,False,0.019945859909057617
